CompName,StartDateTime,EndDateTime,ElapsedTime,Model,TSID,TSName,OSDResults,FailureReason,SlowSite,USMTBackup,USMTRestore
PC0457,10/8/2018 12:48,10/8/2018 14:30,101.68,VMware Virtual Platform,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Failure,Move Computer to Blocked OU (Staging). ,FALSE,FALSE,FALSE
PC0458,10/8/2018 12:59,10/8/2018 14:34,95.08,HP ProDesk 600 G3 SFF,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Failure,Send Hardware Inventory. ,TRUE,FALSE,TRUE
PC0459,10/8/2018 13:27,10/8/2018 14:38,70.57,HP ProDesk 600 G1 SFF,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0460,10/8/2018 13:35,10/8/2018 14:40,65.57,HP ProDesk 600 G1 SFF,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0461,10/8/2018 13:49,10/8/2018 14:43,54.17,HP ProDesk 600 G3 SFF,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0462,10/8/2018 13:39,10/8/2018 14:45,66.6,HP EliteBook 840 G3,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0463,10/8/2018 13:40,10/8/2018 14:46,65.72,HP ProDesk 600 G1 SFF,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0464,10/8/2018 13:46,10/8/2018 14:47,61.78,HP EliteBook 840 G3,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0465,10/8/2018 13:46,10/8/2018 14:50,64.52,VMware Virtual Platform,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Failure,Move Computer to Blocked OU (Staging). ,FALSE,FALSE,FALSE
PC0466,10/8/2018 13:53,10/8/2018 14:52,59.27,HP ProDesk 600 G3 SFF,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0467,10/8/2018 12:19,10/8/2018 14:55,156.07,HP ProDesk 600 G3 SFF,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0468,10/8/2018 13:41,10/8/2018 14:58,76.77,HP ProDesk 600 G3 SFF,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Failure,Send Hardware Inventory. ,TRUE,FALSE,TRUE
PC0469,10/8/2018 13:47,10/8/2018 15:09,81.8,HP ProDesk 600 G1 SFF,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0470,10/8/2018 14:33,10/8/2018 15:13,39.6,Surface Pro 4,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0471,10/8/2018 14:26,10/8/2018 15:27,60.52,HP ProDesk 600 G3 SFF,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,TRUE
PC0472,10/8/2018 13:48,10/8/2018 15:35,107.22,HP EliteBook Folio 1040 G1,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,TRUE
PC0473,10/8/2018 14:17,10/8/2018 15:39,81.33,HP EliteBook 840 G3,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0474,10/8/2018 14:21,10/8/2018 15:43,82.25,HP EliteBook 840 G5,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Failure,Send Hardware Inventory. ,TRUE,FALSE,TRUE
PC0475,10/8/2018 14:36,10/8/2018 15:43,67.35,HP EliteBook 840 G3,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,TRUE
PC0476,10/8/2018 14:49,10/8/2018 15:43,53.7,HP ProDesk 400 G3 DM,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0477,10/8/2018 14:24,10/8/2018 15:46,81.7,HP EliteBook 840 G3,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0478,10/8/2018 14:54,10/8/2018 15:50,55.7,HP ProDesk 400 G3 DM,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0479,10/8/2018 14:56,10/8/2018 15:59,62.83,HP ProDesk 400 G3 DM,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0480,10/8/2018 14:49,10/8/2018 16:05,75.5,HP ProDesk 400 G3 DM,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0481,10/8/2018 15:09,10/8/2018 16:11,62.75,HP ProDesk 600 G3 SFF,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Failure,Send Hardware Inventory. ,TRUE,FALSE,TRUE
